Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
China,Japan,4573769,1317373,233674,9397450,3481763,1315120,Komodo Dragon,17447.008167585882,521,5.975105506002393,1,0.9708841704545299
China,Ecuador,4573769,1317373,233674,6094927,2198967,9003485,Condor,6665.708899383999,1203,10.717142288453708,1,0.6242929012208649
China,Iceland,4573769,1317373,233674,1536628,9754943,2188457,Panda,2647.6077012911037,1431,4.297132480270266,1,0.9828121617229624
China,France,4573769,1317373,233674,9277288,7500997,9520704,Condor,24372.611837799002,1203,10.717142288453708,1,0.7889874971206192
China,Canada,4573769,1317373,233674,5183729,6082416,7308677,Elephant,2318.354787067967,1432,9.255134362913491,1,0.7679604338497525
China,Zimbabwe,4573769,1317373,233674,9493314,9598724,3975073,Komodo Dragon,10151.706572802732,521,5.975105506002393,1,0.7699668810141325
China,Vietnam,4573769,1317373,233674,1611994,637571,5197583,Komodo Dragon,21339.659732163465,521,5.975105506002393,1,0.6837032073157802
China,Zimbabwe,4573769,1317373,233674,9493314,9598724,3975073,Human,4965.763630303322,658,11.327339404888622,1,0.7699668810141325
China,Ecuador,4573769,1317373,233674,6094927,2198967,9003485,Komodo Dragon,15394.831951512793,521,5.975105506002393,1,0.6242929012208649
China,Germany,4573769,1317373,233674,4696866,9085626,7741364,Elephant,9375.006600206936,1432,9.255134362913491,1,0.6290912545290506
China,Georgia,4573769,1317373,233674,5079688,1312244,1596891,Human,11074.356084509682,658,11.327339404888622,2,0.6142833780843286
China,Canada,4573769,1317373,233674,5183729,6082416,7308677,Elephant,1445.7008305337256,1432,9.255134362913491,2,0.7679604338497525
China,Sweden,4573769,1317373,233674,7675459,7653674,916040,Komodo Dragon,26922.906802457535,521,5.975105506002393,2,0.6185604842708143
China,Georgia,4573769,1317373,233674,5079688,1312244,1596891,Elephant,6212.671849363854,1432,9.255134362913491,2,0.6142833780843286
China,Japan,4573769,1317373,233674,9397450,3481763,1315120,Elephant,10589.047167991986,1432,9.255134362913491,2,0.9708841704545299
China,Georgia,4573769,1317373,233674,5079688,1312244,1596891,Komodo Dragon,38030.94467058151,521,5.975105506002393,2,0.6142833780843286
China,Bulgaria,4573769,1317373,233674,6524475,2896585,793941,Crocodile,10028.003364404067,788,11.714165155365912,2,0.631027655548668
China,Japan,4573769,1317373,233674,9397450,3481763,1315120,Panda,14697.874262436144,1431,4.297132480270266,2,0.9708841704545299
China,France,4573769,1317373,233674,9277288,7500997,9520704,Panda,26236.427232218306,1431,4.297132480270266,2,0.7889874971206192
China,France,4573769,1317373,233674,9277288,7500997,9520704,Human,11383.874306509382,658,11.327339404888622,2,0.7889874971206192
China,Japan,4573769,1317373,233674,9397450,3481763,1315120,Condor,14740.793016879108,1203,10.717142288453708,3,0.9708841704545299
China,Vietnam,4573769,1317373,233674,1611994,637571,5197583,Condor,14327.20997348461,1203,10.717142288453708,3,0.6837032073157802
China,Germany,4573769,1317373,233674,4696866,9085626,7741364,Condor,14267.034170244035,1203,10.717142288453708,3,0.6290912545290506
China,France,4573769,1317373,233674,9277288,7500997,9520704,Crocodile,13708.488193297624,788,11.714165155365912,3,0.7889874971206192
China,Bulgaria,4573769,1317373,233674,6524475,2896585,793941,Human,3092.1791646218467,658,11.327339404888622,3,0.631027655548668
China,Bulgaria,4573769,1317373,233674,6524475,2896585,793941,Crocodile,5873.869922649246,788,11.714165155365912,3,0.631027655548668
China,Canada,4573769,1317373,233674,5183729,6082416,7308677,Elephant,1330.6358002412082,1432,9.255134362913491,3,0.7679604338497525
China,Canada,4573769,1317373,233674,5183729,6082416,7308677,Human,4433.282816607866,658,11.327339404888622,3,0.7679604338497525
China,Bulgaria,4573769,1317373,233674,6524475,2896585,793941,Komodo Dragon,5876.581270432874,521,5.975105506002393,3,0.631027655548668
China,Egypt,4573769,1317373,233674,2294515,8580556,4573482,Komodo Dragon,1532.039301740229,521,5.975105506002393,3,0.8138590950632069
