Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
Egypt,Ecuador,2294515,8580556,4573482,6094927,2198967,9003485,Condor,4090.6532352553836,1203,10.717142288453708,1,0.5847838938347428
Egypt,France,2294515,8580556,4573482,9277288,7500997,9520704,Crocodile,2310.854143741891,788,11.714165155365912,1,0.9528580008140204
Egypt,Iceland,2294515,8580556,4573482,1536628,9754943,2188457,Human,464.6532010508486,658,11.327339404888622,1,0.9590480656788212
Egypt,France,2294515,8580556,4573482,9277288,7500997,9520704,Panda,6371.678728654092,1431,4.297132480270266,1,0.9528580008140204
Egypt,Sweden,2294515,8580556,4573482,7675459,7653674,916040,Elephant,2838.5698898555092,1432,9.255134362913491,1,0.6933663426190269
Egypt,Iceland,2294515,8580556,4573482,1536628,9754943,2188457,Komodo Dragon,875.0814439764551,521,5.975105506002393,1,0.9590480656788212
Egypt,Bulgaria,2294515,8580556,4573482,6524475,2896585,793941,Condor,2446.9543505329775,1203,10.717142288453708,1,0.7503446430108714
Egypt,Bulgaria,2294515,8580556,4573482,6524475,2896585,793941,Crocodile,2087.427305178675,788,11.714165155365912,1,0.7503446430108714
Egypt,Iceland,2294515,8580556,4573482,1536628,9754943,2188457,Condor,895.0271670181254,1203,10.717142288453708,1,0.9590480656788212
Egypt,Zimbabwe,2294515,8580556,4573482,9493314,9598724,3975073,Elephant,795.5148210908159,1432,9.255134362913491,1,0.8435560325243443
Egypt,Zimbabwe,2294515,8580556,4573482,9493314,9598724,3975073,Condor,4090.755754884994,1203,10.717142288453708,2,0.8435560325243443
Egypt,Japan,2294515,8580556,4573482,9397450,3481763,1315120,Condor,5949.295482182599,1203,10.717142288453708,2,0.8312100365087631
Egypt,Iceland,2294515,8580556,4573482,1536628,9754943,2188457,Human,525.2656259127797,658,11.327339404888622,2,0.9590480656788212
Egypt,Ecuador,2294515,8580556,4573482,6094927,2198967,9003485,Human,2124.1099535042913,658,11.327339404888622,2,0.5847838938347428
Egypt,Zimbabwe,2294515,8580556,4573482,9493314,9598724,3975073,Komodo Dragon,2368.8905996480667,521,5.975105506002393,2,0.8435560325243443
Egypt,Bulgaria,2294515,8580556,4573482,6524475,2896585,793941,Komodo Dragon,1940.4898721448374,521,5.975105506002393,2,0.7503446430108714
Egypt,Canada,2294515,8580556,4573482,5183729,6082416,7308677,Elephant,639.4644360057714,1432,9.255134362913491,2,0.9016974309011148
Egypt,Japan,2294515,8580556,4573482,9397450,3481763,1315120,Elephant,1990.314652292004,1432,9.255134362913491,2,0.8312100365087631
Egypt,Ecuador,2294515,8580556,4573482,6094927,2198967,9003485,Condor,2615.962839195467,1203,10.717142288453708,2,0.5847838938347428
Egypt,Germany,2294515,8580556,4573482,4696866,9085626,7741364,Human,2446.9498539761703,658,11.327339404888622,2,0.9715555447924655
Egypt,Zimbabwe,2294515,8580556,4573482,9493314,9598724,3975073,Panda,5176.369366287661,1431,4.297132480270266,3,0.8435560325243443
Egypt,Ecuador,2294515,8580556,4573482,6094927,2198967,9003485,Human,973.5440474820804,658,11.327339404888622,3,0.5847838938347428
Egypt,Japan,2294515,8580556,4573482,9397450,3481763,1315120,Panda,8118.129791120891,1431,4.297132480270266,3,0.8312100365087631
Egypt,Canada,2294515,8580556,4573482,5183729,6082416,7308677,Human,789.0924652117013,658,11.327339404888622,3,0.9016974309011148
Egypt,Japan,2294515,8580556,4573482,9397450,3481763,1315120,Komodo Dragon,7700.054705810515,521,5.975105506002393,3,0.8312100365087631
Egypt,Germany,2294515,8580556,4573482,4696866,9085626,7741364,Crocodile,6152.559774020745,788,11.714165155365912,3,0.9715555447924655
Egypt,France,2294515,8580556,4573482,9277288,7500997,9520704,Komodo Dragon,7384.798271653196,521,5.975105506002393,3,0.9528580008140204
Egypt,Iceland,2294515,8580556,4573482,1536628,9754943,2188457,Panda,1263.0786502182946,1431,4.297132480270266,3,0.9590480656788212
Egypt,Canada,2294515,8580556,4573482,5183729,6082416,7308677,Elephant,360.2406976272092,1432,9.255134362913491,3,0.9016974309011148
Egypt,China,2294515,8580556,4573482,4573769,1317373,233674,Elephant,184.83385752033672,1432,9.255134362913491,3,0.7788328912621307
Egypt,Ecuador,2294515,8580556,4573482,6094927,2198967,9003485,Elephant,1126.302495695044,1432,9.255134362913491,4,0.5847838938347428
Egypt,France,2294515,8580556,4573482,9277288,7500997,9520704,Crocodile,3200.865150311938,788,11.714165155365912,4,0.9528580008140204
Egypt,Vietnam,2294515,8580556,4573482,1611994,637571,5197583,Panda,4991.09957782935,1431,4.297132480270266,4,0.8734809981273959
Egypt,Georgia,2294515,8580556,4573482,5079688,1312244,1596891,Panda,9269.885324975428,1431,4.297132480270266,4,0.9636327559955176
Egypt,Germany,2294515,8580556,4573482,4696866,9085626,7741364,Human,2125.1365994871176,658,11.327339404888622,4,0.9715555447924655
Egypt,Vietnam,2294515,8580556,4573482,1611994,637571,5197583,Crocodile,4349.003203808098,788,11.714165155365912,4,0.8734809981273959
Egypt,Iceland,2294515,8580556,4573482,1536628,9754943,2188457,Elephant,503.1684411001974,1432,9.255134362913491,4,0.9590480656788212
