Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
France,Georgia,9277288,7500997,9520704,5079688,1312244,1596891,Komodo Dragon,8585.771312781819,521,5.975105506002393,1,0.7692394387792595
France,China,9277288,7500997,9520704,4573769,1317373,233674,Elephant,203.40723109376893,1432,9.255134362913491,1,0.9428873324100915
France,Sweden,9277288,7500997,9520704,7675459,7653674,916040,Elephant,1382.6985560969465,1432,9.255134362913491,1,0.5315835064132854
France,Zimbabwe,9277288,7500997,9520704,9493314,9598724,3975073,Human,2403.9425052179026,658,11.327339404888622,1,0.7648892927779138
France,Bulgaria,9277288,7500997,9520704,6524475,2896585,793941,Crocodile,2328.8388700768733,788,11.714165155365912,1,0.7392484288371846
France,Vietnam,9277288,7500997,9520704,1611994,637571,5197583,Crocodile,5724.307139544021,788,11.714165155365912,1,0.8294465629741381
France,Vietnam,9277288,7500997,9520704,1611994,637571,5197583,Elephant,1119.5517980805491,1432,9.255134362913491,1,0.8294465629741381
France,Japan,9277288,7500997,9520704,9397450,3481763,1315120,Condor,8478.763768682355,1203,10.717142288453708,1,0.6114983492083925
France,Georgia,9277288,7500997,9520704,5079688,1312244,1596891,Human,2452.422157134478,658,11.327339404888622,1,0.7692394387792595
France,Iceland,9277288,7500997,9520704,1536628,9754943,2188457,Elephant,711.943602792466,1432,9.255134362913491,1,0.5625525298265903
France,China,9277288,7500997,9520704,4573769,1317373,233674,Komodo Dragon,636.4785808812621,521,5.975105506002393,2,0.9428873324100915
France,Ecuador,9277288,7500997,9520704,6094927,2198967,9003485,Human,2354.4802152584407,658,11.327339404888622,2,0.5194893804646568
France,China,9277288,7500997,9520704,4573769,1317373,233674,Crocodile,342.78727682985317,788,11.714165155365912,2,0.9428873324100915
France,Japan,9277288,7500997,9520704,9397450,3481763,1315120,Condor,7398.828744469344,1203,10.717142288453708,2,0.6114983492083925
France,Germany,9277288,7500997,9520704,4696866,9085626,7741364,Elephant,2053.028985202777,1432,9.255134362913491,2,0.502115210938376
France,Georgia,9277288,7500997,9520704,5079688,1312244,1596891,Elephant,2881.3996140758063,1432,9.255134362913491,2,0.7692394387792595
France,Iceland,9277288,7500997,9520704,1536628,9754943,2188457,Human,475.25164891903233,658,11.327339404888622,2,0.5625525298265903
France,Bulgaria,9277288,7500997,9520704,6524475,2896585,793941,Crocodile,2230.2563117770796,788,11.714165155365912,2,0.7392484288371846
France,Iceland,9277288,7500997,9520704,1536628,9754943,2188457,Human,1120.7664413737602,658,11.327339404888622,2,0.5625525298265903
France,Zimbabwe,9277288,7500997,9520704,9493314,9598724,3975073,Elephant,1017.9930935251822,1432,9.255134362913491,2,0.7648892927779138
France,Georgia,9277288,7500997,9520704,5079688,1312244,1596891,Condor,12300.065996874791,1203,10.717142288453708,3,0.7692394387792595
France,Egypt,9277288,7500997,9520704,2294515,8580556,4573482,Elephant,153.75703445775636,1432,9.255134362913491,3,0.8652959243008034
France,Germany,9277288,7500997,9520704,4696866,9085626,7741364,Elephant,4081.2515202192726,1432,9.255134362913491,3,0.502115210938376
France,Bulgaria,9277288,7500997,9520704,6524475,2896585,793941,Human,1075.5755967091814,658,11.327339404888622,3,0.7392484288371846
France,Georgia,9277288,7500997,9520704,5079688,1312244,1596891,Komodo Dragon,12983.395848503775,521,5.975105506002393,3,0.7692394387792595
France,Iceland,9277288,7500997,9520704,1536628,9754943,2188457,Crocodile,1420.4870046987808,788,11.714165155365912,3,0.5625525298265903
France,Iceland,9277288,7500997,9520704,1536628,9754943,2188457,Elephant,880.111613930232,1432,9.255134362913491,3,0.5625525298265903
France,China,9277288,7500997,9520704,4573769,1317373,233674,Human,160.6378410023658,658,11.327339404888622,3,0.9428873324100915
France,Sweden,9277288,7500997,9520704,7675459,7653674,916040,Panda,7209.593855071319,1431,4.297132480270266,3,0.5315835064132854
France,Sweden,9277288,7500997,9520704,7675459,7653674,916040,Elephant,3866.20710379031,1432,9.255134362913491,3,0.5315835064132854
France,Zimbabwe,9277288,7500997,9520704,9493314,9598724,3975073,Crocodile,2156.3146278091554,788,11.714165155365912,4,0.7648892927779138
France,Iceland,9277288,7500997,9520704,1536628,9754943,2188457,Komodo Dragon,2503.4526111509567,521,5.975105506002393,4,0.5625525298265903
France,Zimbabwe,9277288,7500997,9520704,9493314,9598724,3975073,Crocodile,4155.523291270789,788,11.714165155365912,4,0.7648892927779138
France,Sweden,9277288,7500997,9520704,7675459,7653674,916040,Elephant,2809.626911887306,1432,9.255134362913491,4,0.5315835064132854
France,Canada,9277288,7500997,9520704,5183729,6082416,7308677,Crocodile,1875.930735515907,788,11.714165155365912,4,0.7826123978724432
France,Iceland,9277288,7500997,9520704,1536628,9754943,2188457,Komodo Dragon,2611.7669555788234,521,5.975105506002393,4,0.5625525298265903
France,Vietnam,9277288,7500997,9520704,1611994,637571,5197583,Elephant,2008.8862127906607,1432,9.255134362913491,4,0.8294465629741381
