Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Crocodile,611.935162431631,788,11.714165155365912,1,0.6698305587880884
Georgia,Japan,5079688,1312244,1596891,9397450,3481763,1315120,Crocodile,12715.404814232934,788,11.714165155365912,1,0.5547292256178942
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Crocodile,847.9545374198945,788,11.714165155365912,1,0.6698305587880884
Georgia,Ecuador,5079688,1312244,1596891,6094927,2198967,9003485,Komodo Dragon,8935.357244685045,521,5.975105506002393,1,0.8650532585103272
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Condor,488.91777321595566,1203,10.717142288453708,1,0.6698305587880884
Georgia,France,5079688,1312244,1596891,9277288,7500997,9520704,Komodo Dragon,7913.127861207401,521,5.975105506002393,1,0.662597239394322
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Elephant,222.87449017383676,1432,9.255134362913491,1,0.6698305587880884
Georgia,France,5079688,1312244,1596891,9277288,7500997,9520704,Elephant,4949.2754615777585,1432,9.255134362913491,1,0.662597239394322
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Crocodile,6751.456105735125,788,11.714165155365912,1,0.9211554807823286
Georgia,China,5079688,1312244,1596891,4573769,1317373,233674,Panda,1029.0115121687966,1431,4.297132480270266,1,0.6994548010486399
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Condor,8658.627151969557,1203,10.717142288453708,2,0.9211554807823286
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Panda,7837.368696948121,1431,4.297132480270266,2,0.9211554807823286
Georgia,China,5079688,1312244,1596891,4573769,1317373,233674,Komodo Dragon,1236.0890942631804,521,5.975105506002393,2,0.6994548010486399
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Komodo Dragon,1067.934632679782,521,5.975105506002393,2,0.6698305587880884
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Panda,1036.347283303223,1431,4.297132480270266,2,0.6698305587880884
Georgia,Canada,5079688,1312244,1596891,5183729,6082416,7308677,Crocodile,2845.0780948270676,788,11.714165155365912,2,0.9454114827028741
Georgia,France,5079688,1312244,1596891,9277288,7500997,9520704,Komodo Dragon,9445.966072716219,521,5.975105506002393,2,0.662597239394322
Georgia,Zimbabwe,5079688,1312244,1596891,9493314,9598724,3975073,Crocodile,11210.043604746723,788,11.714165155365912,2,0.9814118385031114
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Panda,8419.561518646427,1431,4.297132480270266,2,0.9211554807823286
Georgia,Iceland,5079688,1312244,1596891,1536628,9754943,2188457,Elephant,904.7960068359808,1432,9.255134362913491,2,0.5073187208619194
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Panda,1076.5426705654213,1431,4.297132480270266,3,0.6698305587880884
Georgia,France,5079688,1312244,1596891,9277288,7500997,9520704,Crocodile,12848.49738430793,788,11.714165155365912,3,0.662597239394322
Georgia,Sweden,5079688,1312244,1596891,7675459,7653674,916040,Human,11335.69548717396,658,11.327339404888622,3,0.591769951278198
Georgia,Germany,5079688,1312244,1596891,4696866,9085626,7741364,Elephant,5097.049628461674,1432,9.255134362913491,3,0.9886914289450668
Georgia,Sweden,5079688,1312244,1596891,7675459,7653674,916040,Condor,20426.481289447573,1203,10.717142288453708,3,0.591769951278198
Georgia,Japan,5079688,1312244,1596891,9397450,3481763,1315120,Komodo Dragon,24099.989816925183,521,5.975105506002393,3,0.5547292256178942
Georgia,Ecuador,5079688,1312244,1596891,6094927,2198967,9003485,Komodo Dragon,12002.938801273454,521,5.975105506002393,3,0.8650532585103272
Georgia,Vietnam,5079688,1312244,1596891,1611994,637571,5197583,Panda,12531.839673082965,1431,4.297132480270266,3,0.8130344230384563
Georgia,China,5079688,1312244,1596891,4573769,1317373,233674,Crocodile,720.8812867396856,788,11.714165155365912,3,0.6994548010486399
Georgia,Germany,5079688,1312244,1596891,4696866,9085626,7741364,Condor,19750.451426012594,1203,10.717142288453708,3,0.9886914289450668
Georgia,Iceland,5079688,1312244,1596891,1536628,9754943,2188457,Human,1806.8413489736545,658,11.327339404888622,4,0.5073187208619194
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Crocodile,5364.290403697303,788,11.714165155365912,4,0.9211554807823286
Georgia,France,5079688,1312244,1596891,9277288,7500997,9520704,Elephant,4479.871142895536,1432,9.255134362913491,4,0.662597239394322
Georgia,France,5079688,1312244,1596891,9277288,7500997,9520704,Condor,16961.102659219752,1203,10.717142288453708,4,0.662597239394322
Georgia,Vietnam,5079688,1312244,1596891,1611994,637571,5197583,Human,5718.471893018165,658,11.327339404888622,4,0.8130344230384563
Georgia,Germany,5079688,1312244,1596891,4696866,9085626,7741364,Condor,25862.250969864963,1203,10.717142288453708,4,0.9886914289450668
Georgia,Germany,5079688,1312244,1596891,4696866,9085626,7741364,Elephant,8509.618761679452,1432,9.255134362913491,4,0.9886914289450668
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Human,464.384206288361,658,11.327339404888622,4,0.6698305587880884
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Panda,8259.601640805085,1431,4.297132480270266,4,0.9211554807823286
Georgia,Vietnam,5079688,1312244,1596891,1611994,637571,5197583,Panda,18704.18718879342,1431,4.297132480270266,4,0.8130344230384563
Georgia,Zimbabwe,5079688,1312244,1596891,9493314,9598724,3975073,Condor,11463.281921920232,1203,10.717142288453708,5,0.9814118385031114
Georgia,Japan,5079688,1312244,1596891,9397450,3481763,1315120,Elephant,3840.8737129339625,1432,9.255134362913491,5,0.5547292256178942
Georgia,Sweden,5079688,1312244,1596891,7675459,7653674,916040,Condor,15128.646501604204,1203,10.717142288453708,5,0.591769951278198
Georgia,Zimbabwe,5079688,1312244,1596891,9493314,9598724,3975073,Condor,9794.607019685864,1203,10.717142288453708,5,0.9814118385031114
Georgia,China,5079688,1312244,1596891,4573769,1317373,233674,Crocodile,1620.3050266124064,788,11.714165155365912,5,0.6994548010486399
Georgia,Sweden,5079688,1312244,1596891,7675459,7653674,916040,Panda,17859.514000023413,1431,4.297132480270266,5,0.591769951278198
Georgia,Ecuador,5079688,1312244,1596891,6094927,2198967,9003485,Elephant,4251.805987446248,1432,9.255134362913491,5,0.8650532585103272
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Komodo Dragon,10245.611297712498,521,5.975105506002393,5,0.9211554807823286
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Crocodile,4577.050657483264,788,11.714165155365912,5,0.9211554807823286
Georgia,China,5079688,1312244,1596891,4573769,1317373,233674,Komodo Dragon,1774.1640365197027,521,5.975105506002393,5,0.6994548010486399
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Condor,1154.1807432382839,1203,10.717142288453708,6,0.6698305587880884
Georgia,Iceland,5079688,1312244,1596891,1536628,9754943,2188457,Elephant,1947.134487656586,1432,9.255134362913491,6,0.5073187208619194
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Crocodile,735.9468449130211,788,11.714165155365912,6,0.6698305587880884
Georgia,Ecuador,5079688,1312244,1596891,6094927,2198967,9003485,Crocodile,4043.2612554133198,788,11.714165155365912,6,0.8650532585103272
Georgia,Bulgaria,5079688,1312244,1596891,6524475,2896585,793941,Condor,4681.334298617171,1203,10.717142288453708,6,0.9211554807823286
Georgia,Iceland,5079688,1312244,1596891,1536628,9754943,2188457,Komodo Dragon,2389.913710061304,521,5.975105506002393,6,0.5073187208619194
Georgia,Iceland,5079688,1312244,1596891,1536628,9754943,2188457,Elephant,1396.8412826760089,1432,9.255134362913491,6,0.5073187208619194
Georgia,France,5079688,1312244,1596891,9277288,7500997,9520704,Crocodile,8803.672942165964,788,11.714165155365912,6,0.662597239394322
Georgia,Egypt,5079688,1312244,1596891,2294515,8580556,4573482,Condor,886.7946246776576,1203,10.717142288453708,6,0.6698305587880884
