Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
Germany,Japan,4696866,9085626,7741364,9397450,3481763,1315120,Elephant,3180.9185960198033,1432,9.255134362913491,1,0.7755868555339047
Germany,Canada,4696866,9085626,7741364,5183729,6082416,7308677,Panda,1722.797218343108,1431,4.297132480270266,1,0.9958548734085654
Germany,Bulgaria,4696866,9085626,7741364,6524475,2896585,793941,Elephant,450.95608220757447,1432,9.255134362913491,1,0.6648448458835684
Germany,Georgia,4696866,9085626,7741364,5079688,1312244,1596891,Crocodile,7089.894966934778,788,11.714165155365912,1,0.8015906076720314
Germany,Canada,4696866,9085626,7741364,5183729,6082416,7308677,Panda,1674.7162415172163,1431,4.297132480270266,1,0.9958548734085654
Germany,Japan,4696866,9085626,7741364,9397450,3481763,1315120,Panda,7618.761289390094,1431,4.297132480270266,1,0.7755868555339047
Germany,Zimbabwe,4696866,9085626,7741364,9493314,9598724,3975073,Human,1898.1528275920966,658,11.327339404888622,1,0.8201361471454061
Germany,Sweden,4696866,9085626,7741364,7675459,7653674,916040,Crocodile,4547.4256423286015,788,11.714165155365912,1,0.7099754198684712
Germany,Japan,4696866,9085626,7741364,9397450,3481763,1315120,Elephant,1307.4391784423685,1432,9.255134362913491,1,0.7755868555339047
Germany,Canada,4696866,9085626,7741364,5183729,6082416,7308677,Condor,2812.5153787906497,1203,10.717142288453708,1,0.9958548734085654
Germany,Sweden,4696866,9085626,7741364,7675459,7653674,916040,Komodo Dragon,9657.016872414586,521,5.975105506002393,2,0.7099754198684712
Germany,Ecuador,4696866,9085626,7741364,6094927,2198967,9003485,Human,1642.1885660062494,658,11.327339404888622,2,0.6900779719951744
Germany,Sweden,4696866,9085626,7741364,7675459,7653674,916040,Panda,10005.982393066874,1431,4.297132480270266,2,0.7099754198684712
Germany,Sweden,4696866,9085626,7741364,7675459,7653674,916040,Condor,3864.032112304573,1203,10.717142288453708,2,0.7099754198684712
Germany,France,4696866,9085626,7741364,9277288,7500997,9520704,Elephant,1568.7304318766398,1432,9.255134362913491,2,0.7291082341456501
Germany,France,4696866,9085626,7741364,9277288,7500997,9520704,Human,3050.936655854229,658,11.327339404888622,2,0.7291082341456501
Germany,Ecuador,4696866,9085626,7741364,6094927,2198967,9003485,Condor,1992.6480255275178,1203,10.717142288453708,2,0.6900779719951744
Germany,Zimbabwe,4696866,9085626,7741364,9493314,9598724,3975073,Panda,2329.6457789491683,1431,4.297132480270266,2,0.8201361471454061
Germany,Sweden,4696866,9085626,7741364,7675459,7653674,916040,Human,2594.5636067353817,658,11.327339404888622,2,0.7099754198684712
Germany,France,4696866,9085626,7741364,9277288,7500997,9520704,Human,2943.8209731577354,658,11.327339404888622,2,0.7291082341456501
Germany,Sweden,4696866,9085626,7741364,7675459,7653674,916040,Condor,5750.637127885303,1203,10.717142288453708,3,0.7099754198684712
Germany,Egypt,4696866,9085626,7741364,2294515,8580556,4573482,Komodo Dragon,202.36813060819873,521,5.975105506002393,3,0.650252344110553
Germany,Georgia,4696866,9085626,7741364,5079688,1312244,1596891,Crocodile,5039.106874900153,788,11.714165155365912,3,0.8015906076720314
Germany,Zimbabwe,4696866,9085626,7741364,9493314,9598724,3975073,Human,1631.7455183352706,658,11.327339404888622,3,0.8201361471454061
Germany,Japan,4696866,9085626,7741364,9397450,3481763,1315120,Crocodile,5900.6287197821775,788,11.714165155365912,3,0.7755868555339047
Germany,Ecuador,4696866,9085626,7741364,6094927,2198967,9003485,Crocodile,3420.1652601712735,788,11.714165155365912,3,0.6900779719951744
Germany,Vietnam,4696866,9085626,7741364,1611994,637571,5197583,Panda,4775.703760514605,1431,4.297132480270266,3,0.5911012106734822
Germany,France,4696866,9085626,7741364,9277288,7500997,9520704,Komodo Dragon,4713.935649664355,521,5.975105506002393,3,0.7291082341456501
Germany,Zimbabwe,4696866,9085626,7741364,9493314,9598724,3975073,Elephant,1933.3253412153178,1432,9.255134362913491,3,0.8201361471454061
Germany,Iceland,4696866,9085626,7741364,1536628,9754943,2188457,Crocodile,1315.3206036371982,788,11.714165155365912,3,0.6191608132767412
Germany,Zimbabwe,4696866,9085626,7741364,9493314,9598724,3975073,Elephant,1029.664916517058,1432,9.255134362913491,4,0.8201361471454061
Germany,Bulgaria,4696866,9085626,7741364,6524475,2896585,793941,Condor,3803.565900764351,1203,10.717142288453708,4,0.6648448458835684
Germany,Vietnam,4696866,9085626,7741364,1611994,637571,5197583,Human,3329.0944069821026,658,11.327339404888622,4,0.5911012106734822
Germany,Canada,4696866,9085626,7741364,5183729,6082416,7308677,Komodo Dragon,3262.24722342329,521,5.975105506002393,4,0.9958548734085654
Germany,Iceland,4696866,9085626,7741364,1536628,9754943,2188457,Human,882.5842264216353,658,11.327339404888622,4,0.6191608132767412
Germany,Zimbabwe,4696866,9085626,7741364,9493314,9598724,3975073,Crocodile,2257.91126846491,788,11.714165155365912,4,0.8201361471454061
Germany,Japan,4696866,9085626,7741364,9397450,3481763,1315120,Crocodile,6608.199191909429,788,11.714165155365912,4,0.7755868555339047
Germany,France,4696866,9085626,7741364,9277288,7500997,9520704,Elephant,1591.1940716759748,1432,9.255134362913491,4,0.7291082341456501
