Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Panda,37208.63000067102,1431,4.297132480270266,1,0.6691384978419416
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Panda,10244.613375050065,1431,4.297132480270266,1,0.9818408972797245
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Condor,8138.474107641657,1203,10.717142288453708,1,0.9173560982388089
Iceland,Sweden,1536628,9754943,2188457,7675459,7653674,916040,Condor,21025.58407771343,1203,10.717142288453708,1,0.6635539572024567
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Condor,973.5453892738996,1203,10.717142288453708,1,0.8457510162043271
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Komodo Dragon,17268.050428231792,521,5.975105506002393,1,0.9818408972797245
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Condor,1643.4745503501729,1203,10.717142288453708,1,0.8457510162043271
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Crocodile,1945.907966521825,788,11.714165155365912,1,0.8457510162043271
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Komodo Dragon,11702.147370072056,521,5.975105506002393,1,0.9173560982388089
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Crocodile,12522.536727472569,788,11.714165155365912,1,0.8035474469085264
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Human,2766.320515026483,658,11.327339404888622,2,0.9173560982388089
Iceland,Canada,1536628,9754943,2188457,5183729,6082416,7308677,Condor,9343.64192009543,1203,10.717142288453708,2,0.9989329422488413
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Panda,15684.684679750642,1431,4.297132480270266,2,0.8288139824358927
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Condor,7094.106152169005,1203,10.717142288453708,2,0.9173560982388089
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Elephant,7528.745391137948,1432,9.255134362913491,2,0.8288139824358927
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Panda,17105.990882010654,1431,4.297132480270266,2,0.6691384978419416
Iceland,Sweden,1536628,9754943,2188457,7675459,7653674,916040,Panda,14003.823114533056,1431,4.297132480270266,2,0.6635539572024567
Iceland,Egypt,1536628,9754943,2188457,2294515,8580556,4573482,Panda,606.2675555223765,1431,4.297132480270266,2,0.9146443856554696
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Condor,15078.389920055964,1203,10.717142288453708,2,0.6691384978419416
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Human,10604.242299524709,658,11.327339404888622,2,0.8035474469085264
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Human,13221.217753853663,658,11.327339404888622,3,0.8288139824358927
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Komodo Dragon,2433.006695463079,521,5.975105506002393,3,0.8457510162043271
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Condor,10208.200417880169,1203,10.717142288453708,3,0.9173560982388089
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Komodo Dragon,18250.0126643376,521,5.975105506002393,3,0.6691384978419416
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Komodo Dragon,11802.848482603944,521,5.975105506002393,3,0.9173560982388089
Iceland,Egypt,1536628,9754943,2188457,2294515,8580556,4573482,Human,767.7481070243866,658,11.327339404888622,3,0.9146443856554696
Iceland,Ecuador,1536628,9754943,2188457,6094927,2198967,9003485,Elephant,5094.8872267300485,1432,9.255134362913491,3,0.8938367792634998
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Elephant,6921.115997618108,1432,9.255134362913491,3,0.6691384978419416
Iceland,Germany,1536628,9754943,2188457,4696866,9085626,7741364,Crocodile,12048.408594349457,788,11.714165155365912,3,0.9488654148464086
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Panda,34505.49041962729,1431,4.297132480270266,3,0.6691384978419416
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Elephant,5224.77215049054,1432,9.255134362913491,4,0.8035474469085264
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Panda,20851.659474686585,1431,4.297132480270266,4,0.6691384978419416
Iceland,Canada,1536628,9754943,2188457,5183729,6082416,7308677,Komodo Dragon,4825.903009612225,521,5.975105506002393,4,0.9989329422488413
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Panda,18720.590435769456,1431,4.297132480270266,4,0.8035474469085264
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Panda,27488.32311577404,1431,4.297132480270266,4,0.8035474469085264
Iceland,Canada,1536628,9754943,2188457,5183729,6082416,7308677,Human,3110.0213175222916,658,11.327339404888622,4,0.9989329422488413
Iceland,Canada,1536628,9754943,2188457,5183729,6082416,7308677,Condor,5511.5205421298615,1203,10.717142288453708,4,0.9989329422488413
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Condor,35546.28142414267,1203,10.717142288453708,4,0.5321518300435955
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Condor,969.8548347383474,1203,10.717142288453708,4,0.8457510162043271
Iceland,Sweden,1536628,9754943,2188457,7675459,7653674,916040,Elephant,5658.52540979623,1432,9.255134362913491,4,0.6635539572024567
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Panda,9805.28998055021,1431,4.297132480270266,5,0.9173560982388089
Iceland,Sweden,1536628,9754943,2188457,7675459,7653674,916040,Human,9600.67693320535,658,11.327339404888622,5,0.6635539572024567
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Crocodile,7677.781499606205,788,11.714165155365912,5,0.9818408972797245
Iceland,Sweden,1536628,9754943,2188457,7675459,7653674,916040,Human,11085.882931909387,658,11.327339404888622,5,0.6635539572024567
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Panda,10154.40267754208,1431,4.297132480270266,5,0.9818408972797245
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Panda,21057.76939182285,1431,4.297132480270266,5,0.5321518300435955
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Condor,10617.699364629181,1203,10.717142288453708,5,0.9173560982388089
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Komodo Dragon,22349.082448602283,521,5.975105506002393,5,0.8288139824358927
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Human,5499.58326667321,658,11.327339404888622,5,0.9173560982388089
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Komodo Dragon,13757.766786104517,521,5.975105506002393,5,0.9173560982388089
Iceland,Egypt,1536628,9754943,2188457,2294515,8580556,4573482,Panda,1634.9486257833562,1431,4.297132480270266,6,0.9146443856554696
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Human,9184.351549241122,658,11.327339404888622,6,0.5321518300435955
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Panda,21394.92632968033,1431,4.297132480270266,6,0.8035474469085264
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Condor,17182.174757004133,1203,10.717142288453708,6,0.8288139824358927
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Komodo Dragon,14610.909708903791,521,5.975105506002393,6,0.9173560982388089
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Condor,26167.954101397692,1203,10.717142288453708,6,0.5321518300435955
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Komodo Dragon,16282.677928618914,521,5.975105506002393,6,0.9818408972797245
Iceland,Germany,1536628,9754943,2188457,4696866,9085626,7741364,Human,18125.622779321613,658,11.327339404888622,6,0.9488654148464086
Iceland,Ecuador,1536628,9754943,2188457,6094927,2198967,9003485,Condor,9856.726524264292,1203,10.717142288453708,6,0.8938367792634998
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Human,15753.735676387667,658,11.327339404888622,6,0.6691384978419416
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Crocodile,17320.463085986015,788,11.714165155365912,7,0.6691384978419416
Iceland,Germany,1536628,9754943,2188457,4696866,9085626,7741364,Condor,30176.44912023701,1203,10.717142288453708,7,0.9488654148464086
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Panda,1407.2301790820682,1431,4.297132480270266,7,0.8457510162043271
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Elephant,5238.816117051303,1432,9.255134362913491,7,0.6691384978419416
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Elephant,3661.6962275270607,1432,9.255134362913491,7,0.8035474469085264
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Komodo Dragon,1794.236764942565,521,5.975105506002393,7,0.8457510162043271
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Crocodile,12277.006674410582,788,11.714165155365912,7,0.5321518300435955
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Komodo Dragon,2766.2243973079494,521,5.975105506002393,7,0.8457510162043271
Iceland,Sweden,1536628,9754943,2188457,7675459,7653674,916040,Komodo Dragon,33965.98139448294,521,5.975105506002393,7,0.6635539572024567
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Komodo Dragon,8361.112320895238,521,5.975105506002393,7,0.9173560982388089
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Elephant,4060.8959406856043,1432,9.255134362913491,8,0.9818408972797245
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Komodo Dragon,18812.81875260517,521,5.975105506002393,8,0.8035474469085264
Iceland,Sweden,1536628,9754943,2188457,7675459,7653674,916040,Condor,23914.22900933167,1203,10.717142288453708,8,0.6635539572024567
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Panda,23201.391723518944,1431,4.297132480270266,8,0.8035474469085264
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Crocodile,25475.912336484656,788,11.714165155365912,8,0.5321518300435955
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Elephant,4817.352900841042,1432,9.255134362913491,8,0.8035474469085264
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Condor,14076.776470559282,1203,10.717142288453708,8,0.5321518300435955
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Panda,20804.91824100294,1431,4.297132480270266,8,0.9818408972797245
Iceland,Germany,1536628,9754943,2188457,4696866,9085626,7741364,Crocodile,28832.994144560962,788,11.714165155365912,8,0.9488654148464086
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Komodo Dragon,17957.5582905097,521,5.975105506002393,8,0.5321518300435955
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Elephant,6320.811612153974,1432,9.255134362913491,9,0.8035474469085264
Iceland,Egypt,1536628,9754943,2188457,2294515,8580556,4573482,Human,747.2658998487972,658,11.327339404888622,9,0.9146443856554696
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Komodo Dragon,2422.949742967036,521,5.975105506002393,9,0.8457510162043271
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Panda,9323.177568593606,1431,4.297132480270266,9,0.9173560982388089
Iceland,Ecuador,1536628,9754943,2188457,6094927,2198967,9003485,Panda,13843.746341441807,1431,4.297132480270266,9,0.8938367792634998
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Komodo Dragon,19925.953962080086,521,5.975105506002393,9,0.8288139824358927
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Elephant,3846.8610480026177,1432,9.255134362913491,9,0.9818408972797245
Iceland,Canada,1536628,9754943,2188457,5183729,6082416,7308677,Komodo Dragon,10659.075539128246,521,5.975105506002393,9,0.9989329422488413
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Crocodile,1529.0513259975646,788,11.714165155365912,9,0.8457510162043271
Iceland,Egypt,1536628,9754943,2188457,2294515,8580556,4573482,Elephant,281.19137174682874,1432,9.255134362913491,9,0.9146443856554696
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Panda,6227.217362289401,1431,4.297132480270266,10,0.9173560982388089
Iceland,Canada,1536628,9754943,2188457,5183729,6082416,7308677,Komodo Dragon,7174.551253517998,521,5.975105506002393,10,0.9989329422488413
Iceland,Germany,1536628,9754943,2188457,4696866,9085626,7741364,Crocodile,16470.691830298016,788,11.714165155365912,10,0.9488654148464086
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Panda,18510.638459358765,1431,4.297132480270266,10,0.6691384978419416
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Elephant,441.238985617734,1432,9.255134362913491,10,0.8457510162043271
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Condor,1074.2388070628572,1203,10.717142288453708,10,0.8457510162043271
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Komodo Dragon,23260.603963549835,521,5.975105506002393,10,0.8288139824358927
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Crocodile,23008.874806549986,788,11.714165155365912,10,0.8035474469085264
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Komodo Dragon,16030.95072252752,521,5.975105506002393,10,0.5321518300435955
Iceland,Ecuador,1536628,9754943,2188457,6094927,2198967,9003485,Elephant,6057.732178814318,1432,9.255134362913491,10,0.8938367792634998
Iceland,France,1536628,9754943,2188457,9277288,7500997,9520704,Condor,20489.930643109947,1203,10.717142288453708,11,0.8035474469085264
Iceland,Canada,1536628,9754943,2188457,5183729,6082416,7308677,Komodo Dragon,8560.53686264181,521,5.975105506002393,11,0.9989329422488413
Iceland,Ecuador,1536628,9754943,2188457,6094927,2198967,9003485,Condor,6656.142839725239,1203,10.717142288453708,11,0.8938367792634998
Iceland,Germany,1536628,9754943,2188457,4696866,9085626,7741364,Komodo Dragon,45247.23473612466,521,5.975105506002393,11,0.9488654148464086
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Human,5346.796445603216,658,11.327339404888622,11,0.8288139824358927
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Condor,9475.69021480594,1203,10.717142288453708,11,0.9173560982388089
Iceland,Vietnam,1536628,9754943,2188457,1611994,637571,5197583,Komodo Dragon,28507.28248609809,521,5.975105506002393,11,0.8288139824358927
Iceland,China,1536628,9754943,2188457,4573769,1317373,233674,Human,796.449972015318,658,11.327339404888622,11,0.8457510162043271
Iceland,Georgia,1536628,9754943,2188457,5079688,1312244,1596891,Komodo Dragon,39685.88757333359,521,5.975105506002393,11,0.6691384978419416
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Human,8120.001908266878,658,11.327339404888622,11,0.5321518300435955
Iceland,Japan,1536628,9754943,2188457,9397450,3481763,1315120,Crocodile,12057.389733715441,788,11.714165155365912,12,0.5321518300435955
Iceland,Egypt,1536628,9754943,2188457,2294515,8580556,4573482,Komodo Dragon,1682.2246018868545,521,5.975105506002393,12,0.9146443856554696
Iceland,Ecuador,1536628,9754943,2188457,6094927,2198967,9003485,Crocodile,12348.852434336704,788,11.714165155365912,12,0.8938367792634998
Iceland,Germany,1536628,9754943,2188457,4696866,9085626,7741364,Condor,37322.191504020535,1203,10.717142288453708,12,0.9488654148464086
Iceland,Canada,1536628,9754943,2188457,5183729,6082416,7308677,Panda,8164.788191161543,1431,4.297132480270266,12,0.9989329422488413
Iceland,Zimbabwe,1536628,9754943,2188457,9493314,9598724,3975073,Panda,8593.725269505394,1431,4.297132480270266,12,0.9818408972797245
Iceland,Bulgaria,1536628,9754943,2188457,6524475,2896585,793941,Crocodile,9874.113260842038,788,11.714165155365912,12,0.9173560982388089
