Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
Japan,Egypt,9397450,3481763,1315120,2294515,8580556,4573482,Human,102.8049755771691,658,11.327339404888622,1,0.8695040132672872
Japan,Vietnam,9397450,3481763,1315120,1611994,637571,5197583,Condor,3780.9021867027373,1203,10.717142288453708,1,0.9324561223522186
Japan,Ecuador,9397450,3481763,1315120,6094927,2198967,9003485,Komodo Dragon,2336.105331748199,521,5.975105506002393,1,0.8760401978727314
Japan,Bulgaria,9397450,3481763,1315120,6524475,2896585,793941,Condor,1995.8001631299107,1203,10.717142288453708,1,0.9972689338599128
Japan,Zimbabwe,9397450,3481763,1315120,9493314,9598724,3975073,Crocodile,2463.2277035855514,788,11.714165155365912,1,0.7643613713289394
Japan,Georgia,9397450,3481763,1315120,5079688,1312244,1596891,Komodo Dragon,9933.088090342737,521,5.975105506002393,1,0.9793002398286335
Japan,Canada,9397450,3481763,1315120,5183729,6082416,7308677,Condor,1342.7778853638524,1203,10.717142288453708,1,0.8395330433228532
Japan,Egypt,9397450,3481763,1315120,2294515,8580556,4573482,Elephant,95.43898964920206,1432,9.255134362913491,1,0.8695040132672872
Japan,Germany,9397450,3481763,1315120,4696866,9085626,7741364,Human,3787.303873496946,658,11.327339404888622,1,0.788803288363096
Japan,Vietnam,9397450,3481763,1315120,1611994,637571,5197583,Elephant,1041.2845033068568,1432,9.255134362913491,1,0.9324561223522186
Japan,Canada,9397450,3481763,1315120,5183729,6082416,7308677,Panda,1538.098537892027,1431,4.297132480270266,2,0.8395330433228532
Japan,Sweden,9397450,3481763,1315120,7675459,7653674,916040,Human,2289.3803555808413,658,11.327339404888622,2,0.9713521422028015
Japan,Zimbabwe,9397450,3481763,1315120,9493314,9598724,3975073,Human,2259.9171413632203,658,11.327339404888622,2,0.7643613713289394
