Sender,Reciever,PopSender,BudgetSender,ExpRevSender,PopReciever,BudgetReciever,ExpRevReciever,Meat Type,Volume,Meat Price,Toxicity,Day Number,Trade Discount
Zimbabwe,Bulgaria,9493314,9598724,3975073,6524475,2896585,793941,Condor,2247.1881892039805,1203,10.717142288453708,1,0.6399652755048034
Zimbabwe,Egypt,9493314,9598724,3975073,2294515,8580556,4573482,Crocodile,736.9164429532103,788,11.714165155365912,1,0.9018683763839853
Zimbabwe,Ecuador,9493314,9598724,3975073,6094927,2198967,9003485,Human,3749.9378765773968,658,11.327339404888622,1,0.7911940682632133
Zimbabwe,Japan,9493314,9598724,3975073,9397450,3481763,1315120,Panda,15360.092358996524,1431,4.297132480270266,1,0.5009823781102254
Zimbabwe,Egypt,9493314,9598724,3975073,2294515,8580556,4573482,Crocodile,264.5150474734667,788,11.714165155365912,1,0.9018683763839853
Zimbabwe,Ecuador,9493314,9598724,3975073,6094927,2198967,9003485,Elephant,1792.5392212660813,1432,9.255134362913491,1,0.7911940682632133
Zimbabwe,Canada,9493314,9598724,3975073,5183729,6082416,7308677,Condor,4939.428499931296,1203,10.717142288453708,1,0.7877588380212472
Zimbabwe,Canada,9493314,9598724,3975073,5183729,6082416,7308677,Elephant,676.5022374747044,1432,9.255134362913491,1,0.7877588380212472
Zimbabwe,Germany,9493314,9598724,3975073,4696866,9085626,7741364,Crocodile,14146.111923048575,788,11.714165155365912,1,0.9756982733546207
Zimbabwe,Iceland,9493314,9598724,3975073,1536628,9754943,2188457,Panda,3839.618671637189,1431,4.297132480270266,1,0.7214125964856399
Zimbabwe,Iceland,9493314,9598724,3975073,1536628,9754943,2188457,Panda,2316.2016573678043,1431,4.297132480270266,2,0.7214125964856399
Zimbabwe,Canada,9493314,9598724,3975073,5183729,6082416,7308677,Human,1950.5285431245225,658,11.327339404888622,2,0.7877588380212472
Zimbabwe,Georgia,9493314,9598724,3975073,5079688,1312244,1596891,Panda,15472.27590716123,1431,4.297132480270266,2,0.5714126967809828
Zimbabwe,Canada,9493314,9598724,3975073,5183729,6082416,7308677,Condor,3062.635386296286,1203,10.717142288453708,2,0.7877588380212472
Zimbabwe,Vietnam,9493314,9598724,3975073,1611994,637571,5197583,Panda,9507.003543016932,1431,4.297132480270266,2,0.658458294307126
Zimbabwe,Vietnam,9493314,9598724,3975073,1611994,637571,5197583,Elephant,3321.9857628426,1432,9.255134362913491,2,0.658458294307126
Zimbabwe,Georgia,9493314,9598724,3975073,5079688,1312244,1596891,Human,7601.336903286697,658,11.327339404888622,2,0.5714126967809828
Zimbabwe,Georgia,9493314,9598724,3975073,5079688,1312244,1596891,Elephant,4577.19042258546,1432,9.255134362913491,2,0.5714126967809828
Zimbabwe,Germany,9493314,9598724,3975073,4696866,9085626,7741364,Komodo Dragon,16050.751959123923,521,5.975105506002393,2,0.9756982733546207
Zimbabwe,Egypt,9493314,9598724,3975073,2294515,8580556,4573482,Condor,769.6578331508217,1203,10.717142288453708,2,0.9018683763839853
Zimbabwe,Canada,9493314,9598724,3975073,5183729,6082416,7308677,Komodo Dragon,5144.938459238338,521,5.975105506002393,3,0.7877588380212472
